83,retired,primary,cellular,115,1,-1,yes
40,management,tertiary,cellular,506,2,-1,yes
26,admin.,tertiary,cellular,78,1,-1,no
23,student,secondary,cellular,96,2,-1,yes
34,management,tertiary,cellular,278,8,-1,yes
24,student,secondary,cellular,411,2,-1,yes
43,services,secondary,cellular,101,1,421,yes
37,services,secondary,cellular,156,1,-1,yes
46,management,secondary,cellular,151,1,184,no
62,management,tertiary,cellular,187,1,178,yes
20,student,unknown,cellular,196,3,182,no
77,management,tertiary,cellular,189,1,-1,no
26,management,tertiary,cellular,231,1,295,no
57,management,tertiary,cellular,272,1,178,yes
58,services,secondary,telephone,282,2,-1,no
