40,blue-collar,secondary,unknown,299,1,-1,yes
43,admin.,secondary,telephone,208,1,-1,no
38,management,tertiary,telephone,43,1,-1,no
33,technician,secondary,telephone,61,1,-1,no
33,technician,secondary,cellular,425,1,462,no
53,admin.,secondary,cellular,178,1,-1,yes
33,student,secondary,cellular,262,1,94,yes
24,student,tertiary,cellular,118,1,-1,yes
32,management,tertiary,cellular,165,1,91,yes
60,self-employed,tertiary,cellular,98,1,91,yes
64,entrepreneur,tertiary,telephone,201,1,-1,yes
34,admin.,secondary,cellular,161,1,209,yes
35,management,tertiary,cellular,696,2,88,yes
53,management,tertiary,cellular,371,2,96,no
24,student,secondary,cellular,263,1,90,yes
81,retired,unknown,telephone,235,2,-1,no
27,services,secondary,cellular,257,1,-1,no
32,technician,tertiary,cellular,270,1,144,no
38,management,tertiary,cellular,347,4,189,yes
47,housemaid,secondary,cellular,171,2,96,no
47,management,tertiary,cellular,255,3,378,no
61,housemaid,primary,cellular,335,1,92,no
64,retired,tertiary,cellular,326,1,95,no
63,retired,primary,telephone,301,1,456,no
44,entrepreneur,tertiary,cellular,248,1,91,yes
37,management,tertiary,cellular,268,1,-1,yes
52,technician,tertiary,cellular,467,3,92,yes
34,student,unknown,cellular,600,2,99,no
60,services,secondary,cellular,125,1,96,no
35,technician,secondary,cellular,524,1,96,yes
31,management,tertiary,cellular,94,3,-1,no
29,admin.,secondary,cellular,208,2,91,yes
71,retired,secondary,cellular,379,2,92,no
35,services,tertiary,cellular,111,2,-1,no
33,technician,tertiary,cellular,465,2,95,no
41,unemployed,tertiary,telephone,394,1,390,yes
