age,job_id,edu_id,contact,duration,campaign,pdays,outcome
33,1,3,cellular,104,1,183,yes
40,5,1,cellular,232,4,-1,yes
71,6,3,telephone,220,1,-1,no
41,5,3,cellular,314,1,239,yes
38,10,2,cellular,315,1,-1,yes
32,5,3,cellular,400,1,-1,yes
69,4,1,cellular,164,2,-1,no
34,5,3,cellular,156,1,-1,no
53,5,3,cellular,307,1,278,yes
75,6,3,cellular,240,1,-1,yes
65,5,3,cellular,416,1,-1,yes
45,10,3,cellular,341,2,-1,yes
32,10,3,cellular,319,1,182,yes
34,5,3,cellular,176,1,-1,no
65,6,1,cellular,229,1,-1,yes
58,3,2,cellular,132,1,-1,yes
52,1,2,cellular,91,2,275,no
26,5,3,cellular,407,2,-1,yes
30,9,1,telephone,94,7,-1,no
53,6,2,cellular,371,2,-1,yes
39,1,2,telephone,154,8,14,no
66,2,1,telephone,186,4,-1,no
39,8,2,cellular,70,3,-1,no
62,10,4,cellular,292,4,247,no
32,5,3,cellular,545,1,-1,yes
