age,job_id,edu_id,contact,duration,campaign,pdays,outcome
45,7,2,cellular,159,2,-1,no
30,10,3,cellular,111,5,-1,no
26,5,3,cellular,325,1,-1,yes
42,5,3,cellular,64,2,-1,no
33,10,2,cellular,419,3,-1,no
36,10,2,cellular,171,2,-1,no
39,10,3,cellular,70,2,-1,no
33,5,3,cellular,194,6,-1,no
40,10,2,cellular,674,2,-1,yes
36,5,3,cellular,122,5,-1,no
51,1,2,cellular,217,3,-1,no
44,5,3,cellular,142,2,-1,no
34,10,3,cellular,144,18,-1,no
37,10,3,cellular,67,2,-1,no
37,5,3,cellular,542,3,-1,no
57,8,2,cellular,239,1,459,no
58,11,2,cellular,142,2,-1,no
32,5,3,cellular,106,4,-1,no
38,5,3,cellular,131,2,-1,no
57,10,3,cellular,122,4,-1,no
48,2,2,cellular,63,2,-1,no
58,10,2,cellular,229,2,-1,no
40,10,3,cellular,256,3,-1,no
35,5,3,cellular,358,2,-1,no
56,5,3,cellular,82,2,-1,no
30,7,3,cellular,185,4,-1,no
43,10,3,cellular,185,2,-1,no
35,10,3,cellular,51,2,-1,no
31,10,3,cellular,67,6,-1,no
32,10,2,cellular,173,2,-1,no
33,5,3,cellular,65,4,-1,no
55,10,2,cellular,78,2,-1,no
33,3,3,cellular,22,2,-1,no
56,8,2,cellular,82,4,-1,no
35,10,2,cellular,77,2,-1,no
50,4,1,cellular,107,4,-1,no
56,6,1,cellular,142,3,-1,no
34,10,2,cellular,181,3,-1,no
38,1,3,cellular,206,2,-1,yes
25,9,2,cellular,100,1,-1,no
51,5,3,cellular,93,2,-1,no
33,10,2,cellular,278,3,-1,no
55,3,2,cellular,353,2,-1,yes
49,1,2,cellular,70,1,-1,no
52,10,2,cellular,134,2,-1,no
31,5,3,cellular,147,2,-1,no
47,8,1,cellular,152,2,-1,no
50,2,2,cellular,46,2,-1,no
53,8,2,cellular,201,2,-1,no
36,5,3,cellular,88,3,-1,no
69,10,2,cellular,714,1,-1,yes
50,10,2,cellular,1834,2,-1,no
42,7,3,cellular,197,2,-1,no
47,12,4,cellular,384,1,99,no
31,10,2,cellular,137,2,-1,no
56,6,2,cellular,93,4,-1,no
41,1,3,cellular,273,1,95,yes
30,10,3,cellular,74,2,-1,no
32,5,3,cellular,1321,9,-1,yes
31,10,2,cellular,115,2,-1,no
54,8,1,cellular,147,3,-1,no
40,10,2,cellular,326,2,-1,no
31,5,3,cellular,1182,1,-1,yes
30,10,2,cellular,124,2,-1,no
56,5,3,cellular,666,2,-1,no
35,5,2,cellular,92,2,-1,no
33,10,2,cellular,67,3,-1,no
59,8,1,cellular,1934,2,-1,no
32,5,3,cellular,112,3,-1,no
43,5,3,cellular,291,1,-1,no
58,6,2,cellular,398,2,-1,no
36,5,3,cellular,71,2,-1,no
43,5,3,cellular,352,2,-1,no
45,10,2,cellular,155,2,-1,no
55,2,1,cellular,148,2,-1,no
48,1,2,cellular,76,2,-1,no
30,10,2,cellular,76,3,-1,no
45,2,2,cellular,84,7,-1,no
52,2,1,cellular,20,4,-1,no
51,5,3,cellular,20,2,-1,no
44,5,3,cellular,84,1,-1,no
37,5,3,cellular,259,4,-1,no
49,2,1,cellular,76,3,-1,no
49,10,2,cellular,140,1,99,no
46,5,3,cellular,94,2,-1,no
33,10,2,cellular,235,1,-1,no
38,5,3,cellular,87,2,-1,no
36,3,2,cellular,67,2,-1,no
31,5,3,cellular,165,3,-1,no
50,10,2,cellular,670,1,-1,yes
47,5,3,cellular,90,2,-1,no
56,2,2,cellular,112,7,-1,no
35,3,3,cellular,187,4,-1,no
38,5,3,cellular,266,4,-1,no
52,1,4,cellular,228,4,-1,no
34,10,2,cellular,534,2,-1,no
54,5,3,cellular,123,3,-1,no
34,5,3,cellular,169,2,-1,no
36,10,2,cellular,44,2,-1,no
66,1,2,cellular,131,1,-1,no
34,10,2,cellular,274,2,-1,no
58,11,2,cellular,221,1,99,yes
35,5,3,cellular,257,2,-1,no
35,10,2,telephone,72,5,-1,no
37,10,2,cellular,105,4,-1,no
51,8,3,cellular,297,8,-1,no
37,1,2,cellular,155,1,99,yes
49,1,2,cellular,301,2,-1,no
50,10,2,telephone,204,4,-1,no
59,5,3,cellular,201,2,-1,no
55,10,3,cellular,191,4,-1,no
55,1,2,cellular,231,2,-1,no
59,6,1,cellular,448,3,-1,no
37,1,3,cellular,420,3,-1,no
48,10,2,cellular,51,3,-1,no
48,5,3,cellular,126,1,-1,no
31,10,3,cellular,446,1,-1,no
55,6,1,cellular,168,2,-1,no
43,10,3,cellular,51,7,-1,no
46,8,2,cellular,96,3,-1,no
60,5,3,cellular,231,3,-1,yes
52,5,3,cellular,63,2,-1,no
57,5,3,cellular,314,4,-1,no
38,5,3,cellular,117,2,-1,no
35,10,2,cellular,261,2,-1,no
37,1,2,cellular,305,1,179,no
43,5,2,cellular,359,2,-1,no
39,5,3,cellular,96,2,-1,no
35,5,3,cellular,163,4,-1,no
42,8,2,cellular,215,1,99,yes
47,1,2,cellular,137,2,-1,no
34,5,3,cellular,73,2,-1,no
37,5,3,cellular,205,5,-1,no
35,10,3,cellular,141,1,-1,no
53,5,3,telephone,262,7,-1,no
56,5,3,cellular,324,1,-1,yes
34,10,3,cellular,235,2,-1,no
58,6,2,cellular,92,4,-1,no
31,10,2,cellular,145,2,-1,no
49,10,2,cellular,324,3,-1,no
46,5,3,cellular,79,1,394,yes
49,2,4,cellular,88,2,-1,no
51,4,1,cellular,265,3,-1,no
38,10,3,cellular,365,8,-1,no
48,8,2,cellular,163,5,-1,no
72,6,1,cellular,530,2,-1,yes
47,1,2,cellular,663,4,-1,yes
33,10,2,cellular,155,2,-1,no
55,4,3,cellular,973,4,-1,no
34,10,3,cellular,130,1,-1,yes
33,10,2,cellular,131,2,-1,no
53,10,2,cellular,103,2,-1,no
30,10,2,cellular,72,1,99,no
32,8,2,cellular,255,1,-1,yes
36,5,3,cellular,113,4,-1,no
40,10,2,cellular,266,2,-1,no
37,5,3,cellular,250,3,-1,no
67,5,3,cellular,345,2,-1,yes
41,10,2,cellular,122,2,-1,no
39,10,3,cellular,108,2,-1,no
49,2,2,cellular,253,2,-1,no
35,10,3,cellular,169,2,-1,no
34,4,2,cellular,252,4,-1,no
47,10,3,cellular,228,2,-1,no
47,5,3,cellular,156,8,-1,no
32,10,2,cellular,152,5,-1,no
33,10,2,cellular,133,4,-1,no
