age,job_id,edu_id,contact,duration,campaign,pdays,outcome
30,5,3,cellular,124,1,-1,no
59,11,2,cellular,479,2,-1,yes
42,5,3,cellular,288,7,183,yes
34,5,3,cellular,787,1,188,no
36,8,2,cellular,149,3,-1,yes
80,6,1,telephone,343,2,-1,yes
71,6,2,telephone,87,6,-1,no
27,5,3,cellular,161,1,190,no
49,10,2,cellular,854,1,-1,yes
34,10,2,cellular,265,1,184,yes
37,1,2,cellular,179,1,190,yes
35,10,2,telephone,220,2,-1,no
41,11,2,telephone,207,3,387,yes
53,2,2,telephone,137,8,188,no
32,5,3,unknown,10,1,-1,no
