age,job_id,edu_id,contact,duration,campaign,pdays,outcome
37,5,3,cellular,7,10,-1,no
26,9,4,cellular,161,1,-1,no
54,4,1,cellular,266,1,196,no
53,8,2,cellular,8,6,-1,no
41,5,3,cellular,134,1,8,no
44,11,3,cellular,8,7,-1,no
71,6,3,cellular,531,2,-1,no
29,10,2,cellular,253,1,-1,no
40,1,2,telephone,89,1,274,no
28,5,3,cellular,137,2,-1,no
35,5,3,cellular,193,4,-1,no
52,5,4,telephone,124,7,-1,no
30,2,2,cellular,259,1,260,no
29,8,1,cellular,205,1,245,no
42,11,2,cellular,148,2,-1,no
27,5,3,cellular,917,1,-1,yes
27,5,3,cellular,196,1,-1,no
35,5,3,cellular,39,1,-1,no
45,5,3,cellular,388,1,-1,no
35,7,3,cellular,142,4,-1,no
41,2,1,cellular,46,1,-1,no
26,10,2,cellular,450,2,-1,no
30,2,1,telephone,41,7,-1,no
28,10,3,cellular,110,2,-1,no
57,5,3,cellular,59,2,-1,no
43,11,2,cellular,169,2,-1,no
56,6,2,cellular,11,5,-1,no
34,5,3,cellular,16,5,-1,no
31,2,2,telephone,58,1,269,no
45,10,2,cellular,617,4,251,no
53,1,2,cellular,159,1,-1,no
34,10,3,cellular,102,1,170,no
28,5,3,cellular,255,6,-1,no
33,10,3,cellular,193,1,176,no
34,5,3,cellular,231,1,-1,no
57,5,2,cellular,75,1,8,no
34,10,2,cellular,319,2,-1,no
41,10,2,telephone,13,8,238,no
46,8,3,cellular,128,1,-1,no
42,5,3,telephone,276,5,-1,no
49,5,3,cellular,18,6,-1,no
38,3,2,cellular,173,1,-1,no
32,1,2,cellular,342,2,260,no
35,1,3,cellular,143,2,-1,no
34,1,2,cellular,124,2,-1,no
32,10,3,cellular,783,1,175,yes
59,6,2,cellular,17,10,-1,no
48,3,3,cellular,1017,4,-1,yes
34,5,3,cellular,99,1,93,no
38,2,2,cellular,412,1,-1,no
35,1,2,cellular,418,2,-1,no
48,5,3,cellular,53,1,-1,no
27,5,3,cellular,335,1,-1,no
42,10,2,cellular,135,1,8,no
30,8,2,cellular,103,1,265,no
50,2,2,cellular,8,8,-1,no
31,8,2,cellular,96,6,-1,no
34,5,3,cellular,108,4,175,no
36,2,2,cellular,569,2,-1,no
34,8,1,cellular,288,1,-1,no
33,3,1,cellular,308,1,213,no
30,5,3,cellular,11,5,-1,no
52,8,2,cellular,140,1,-1,no
61,2,1,cellular,346,1,-1,no
29,4,3,cellular,110,2,64,yes
59,10,2,cellular,79,1,-1,no
41,10,2,cellular,1056,1,-1,no
42,10,2,cellular,449,2,-1,no
31,5,4,cellular,425,2,189,no
30,10,2,cellular,232,1,-1,no
39,3,2,cellular,336,1,-1,no
40,2,2,cellular,611,2,-1,no
52,11,2,cellular,272,1,-1,no
43,12,1,telephone,195,2,-1,no
36,5,3,cellular,383,2,-1,no
33,5,3,cellular,271,2,233,no
32,1,2,cellular,52,1,253,no
39,10,1,cellular,306,5,-1,no
34,1,2,cellular,696,2,-1,yes
