age,job_id,edu_id,contact,duration,campaign,pdays,outcome
58,10,2,cellular,109,1,-1,no
36,5,3,cellular,76,1,-1,no
43,12,4,telephone,41,1,-1,no
33,5,3,cellular,757,2,-1,no
52,8,2,cellular,390,4,93,yes
53,12,4,telephone,69,1,-1,no
28,11,2,cellular,154,1,-1,no
41,5,3,cellular,244,1,-1,no
32,5,4,cellular,92,1,-1,no
33,1,4,cellular,294,3,-1,no
48,8,2,cellular,228,1,196,no
59,11,2,cellular,300,1,-1,no
50,5,3,cellular,326,1,-1,no
48,5,3,cellular,145,3,97,no
30,9,3,cellular,396,1,-1,no
28,8,2,cellular,296,1,-1,no
32,2,2,telephone,309,1,-1,no
52,10,2,cellular,165,1,-1,no
38,2,2,cellular,158,1,265,no
29,7,2,cellular,132,2,-1,no
58,1,4,cellular,56,1,-1,no
35,7,3,cellular,203,1,-1,no
26,9,4,telephone,42,3,-1,no
27,9,2,cellular,180,3,-1,no
47,8,2,cellular,216,1,-1,no
41,10,2,cellular,411,2,156,no
43,5,4,telephone,518,1,-1,no
27,5,2,cellular,24,1,-1,no
37,5,3,cellular,233,1,-1,no
30,2,2,cellular,241,3,-1,no
28,5,3,cellular,258,2,-1,no
62,10,4,telephone,80,4,90,no
60,6,1,cellular,156,1,-1,no
44,3,3,cellular,290,2,153,no
54,10,2,cellular,338,1,-1,no
35,2,1,cellular,121,1,-1,no
52,5,3,cellular,1121,2,205,no
30,10,2,cellular,335,3,-1,no
48,10,2,cellular,73,1,-1,no
31,10,3,cellular,175,1,-1,no
26,1,2,telephone,112,1,-1,no
50,2,2,cellular,155,1,-1,no
41,8,2,cellular,191,1,-1,no
53,5,3,cellular,1745,2,-1,no
27,2,1,telephone,183,2,-1,no
37,5,2,cellular,132,1,-1,no
42,8,4,telephone,258,4,-1,no
48,11,3,cellular,113,1,-1,no
50,2,3,cellular,268,1,-1,no
48,5,2,cellular,58,2,184,no
42,4,2,telephone,44,1,-1,no
45,8,2,cellular,56,2,-1,no
52,2,1,cellular,223,1,-1,yes
54,11,2,cellular,131,1,-1,no
45,4,2,cellular,280,1,-1,no
32,5,3,cellular,458,2,-1,no
42,10,3,cellular,942,2,-1,no
43,10,2,cellular,130,1,247,no
31,8,2,cellular,155,1,-1,no
52,10,2,cellular,198,3,-1,no
54,5,3,cellular,515,3,-1,no
44,5,3,cellular,320,2,-1,no
32,2,2,cellular,117,2,-1,no
44,8,2,cellular,212,2,-1,no
53,11,2,cellular,885,1,-1,no
44,2,1,cellular,531,1,-1,no
37,4,2,telephone,39,1,-1,no
56,10,3,cellular,290,2,184,no
32,1,3,telephone,223,6,275,no
31,5,3,cellular,146,1,-1,no
52,4,1,cellular,130,1,-1,no
28,5,3,cellular,183,1,-1,no
57,8,1,cellular,208,1,-1,no
28,9,4,cellular,554,2,-1,no
58,6,2,cellular,223,1,196,no
51,1,2,cellular,214,1,183,no
27,10,2,cellular,251,1,-1,no
31,11,2,cellular,304,1,71,no
42,10,3,telephone,119,2,-1,no
59,6,2,cellular,503,2,-1,no
58,10,2,cellular,536,2,-1,no
47,10,2,cellular,226,1,-1,no
45,10,2,cellular,368,1,-1,no
42,11,2,cellular,97,1,169,no
26,11,2,cellular,128,1,-1,no
27,8,2,cellular,285,1,-1,no
49,11,1,cellular,60,1,-1,no
54,4,2,telephone,123,2,-1,no
51,5,3,cellular,203,1,-1,no
45,4,1,telephone,109,1,-1,no
42,5,3,cellular,136,1,-1,no
56,11,2,cellular,461,2,204,no
54,2,4,telephone,526,4,258,no
29,8,2,telephone,49,3,183,no
30,5,3,cellular,204,1,-1,no
50,2,2,telephone,37,1,-1,no
35,1,2,cellular,61,2,-1,no
58,11,3,telephone,38,1,-1,no
43,2,2,cellular,122,1,-1,no
30,8,2,cellular,135,1,-1,no
34,7,3,telephone,55,1,-1,no
43,10,3,cellular,352,2,-1,no
27,9,3,cellular,965,3,-1,no
60,6,2,cellular,449,2,-1,no
43,8,2,cellular,347,1,230,no
48,10,2,cellular,188,1,-1,no
73,6,1,cellular,399,3,-1,yes
27,10,3,cellular,174,1,-1,no
57,2,2,telephone,120,2,154,no
46,8,2,cellular,246,1,-1,no
40,10,2,cellular,105,1,244,no
36,5,3,cellular,60,1,250,no
59,5,3,cellular,59,1,268,no
27,10,3,cellular,389,1,-1,no
36,1,3,cellular,126,1,-1,no
29,10,2,cellular,296,1,-1,no
54,3,3,cellular,242,1,184,no
68,6,1,cellular,193,1,-1,no
52,10,2,cellular,103,1,245,no
43,5,3,cellular,282,1,238,no
26,11,2,cellular,214,1,-1,no
30,1,2,cellular,156,2,-1,no
30,5,3,cellular,80,1,-1,no
44,10,2,cellular,374,1,-1,no
57,8,1,cellular,91,1,231,no
58,11,1,cellular,402,2,-1,no
56,1,2,cellular,79,1,-1,no
42,10,2,cellular,137,1,-1,no
41,10,2,cellular,301,2,-1,no
35,1,2,cellular,117,3,-1,no
57,10,2,cellular,198,1,244,no
55,11,2,cellular,70,1,-1,no
29,5,3,cellular,70,1,-1,no
57,5,2,cellular,132,1,-1,no
