age,job_id,edu_id,contact,duration,campaign,pdays,outcome
33,8,2,telephone,44,8,-1,no
44,5,1,cellular,712,6,-1,yes
52,2,2,cellular,1029,3,-1,no
37,1,3,cellular,139,3,-1,no
44,8,1,telephone,249,21,-1,no
35,1,2,cellular,560,2,-1,yes
36,5,3,cellular,560,1,-1,yes
27,5,3,cellular,174,9,-1,no
27,8,3,cellular,662,1,-1,no
30,8,2,cellular,90,1,-1,no
47,4,3,cellular,89,1,-1,no
28,8,2,cellular,405,2,-1,no
37,1,2,telephone,802,11,-1,yes
27,8,2,cellular,527,1,-1,no
36,2,2,cellular,58,1,-1,no
30,7,2,cellular,423,1,-1,no
31,2,2,cellular,101,1,-1,no
43,5,3,cellular,420,3,-1,no
29,2,2,cellular,96,1,-1,no
29,10,2,cellular,211,1,-1,no
58,4,1,cellular,1226,2,-1,no
37,5,3,cellular,89,1,-1,no
30,5,3,cellular,267,1,-1,no
44,5,3,telephone,261,12,-1,no
37,5,3,cellular,282,1,-1,no
27,1,2,cellular,259,1,-1,no
34,5,3,cellular,81,2,-1,no
34,2,2,cellular,1408,2,-1,no
40,10,3,cellular,637,2,-1,no
45,10,2,cellular,312,1,-1,no
37,6,2,cellular,438,3,-1,no
37,1,2,cellular,185,1,-1,no
29,2,2,cellular,55,3,-1,no
32,5,3,cellular,62,3,-1,no
32,1,2,cellular,50,2,-1,no
51,5,3,cellular,176,4,-1,no
59,2,2,cellular,44,4,-1,no
43,1,2,telephone,119,2,-1,no
50,4,2,cellular,160,1,-1,no
60,11,1,cellular,1193,1,412,yes
39,8,2,cellular,132,6,-1,no
56,2,2,telephone,605,1,-1,no
33,5,3,cellular,153,1,-1,no
60,6,1,cellular,152,1,-1,no
28,10,3,cellular,470,2,-1,no
32,3,3,cellular,370,2,-1,no
27,2,2,cellular,39,17,-1,no
24,1,2,cellular,355,2,92,yes
33,10,3,cellular,66,1,-1,no
59,4,1,telephone,204,2,-1,no
55,3,3,cellular,156,3,-1,no
33,2,2,cellular,124,2,-1,no
25,2,2,cellular,135,1,-1,no
37,10,2,cellular,106,2,-1,no
26,8,2,cellular,319,2,-1,no
31,1,2,cellular,102,7,-1,no
31,1,2,cellular,580,3,-1,no
45,1,2,cellular,73,2,-1,no
27,5,2,cellular,493,5,-1,no
43,5,3,cellular,942,1,-1,yes
52,10,2,telephone,135,3,-1,no
29,9,3,cellular,285,1,-1,no
40,8,2,cellular,87,3,-1,no
30,2,2,cellular,661,2,-1,no
33,1,2,cellular,270,2,-1,no
42,10,2,cellular,307,1,-1,no
40,5,3,cellular,96,2,-1,no
56,3,3,cellular,89,5,-1,no
28,8,3,cellular,262,1,-1,no
32,5,3,cellular,72,1,-1,no
35,2,2,cellular,675,2,-1,no
35,5,2,cellular,254,1,-1,no
35,8,2,cellular,181,1,-1,no
59,4,1,cellular,186,2,-1,no
43,1,2,cellular,254,1,-1,no
47,5,3,cellular,333,2,-1,no
50,2,2,cellular,226,1,-1,no
36,1,2,cellular,77,5,-1,no
41,5,4,cellular,1508,1,-1,yes
54,4,1,cellular,106,2,-1,no
48,4,1,cellular,188,5,-1,no
60,4,1,cellular,127,4,-1,no
42,4,2,cellular,178,1,-1,no
55,8,2,cellular,502,3,-1,no
34,2,1,cellular,181,1,-1,no
47,1,2,cellular,211,8,-1,no
49,11,2,cellular,246,1,-1,no
27,2,1,cellular,283,6,-1,no
34,2,2,cellular,532,1,-1,no
25,3,3,cellular,278,5,-1,no
34,10,2,cellular,344,3,-1,no
31,5,3,cellular,369,2,-1,no
33,10,3,cellular,65,1,-1,no
31,7,3,cellular,392,2,-1,no
25,1,2,cellular,129,1,-1,no
43,8,2,cellular,183,1,-1,no
34,2,2,cellular,78,10,-1,no
30,8,2,cellular,654,1,-1,no
45,2,2,cellular,477,2,-1,no
32,1,2,cellular,159,3,-1,no
57,10,2,telephone,563,1,-1,no
31,5,3,cellular,47,1,-1,no
39,7,3,cellular,77,1,-1,no
27,5,3,cellular,152,1,-1,no
40,5,3,cellular,352,3,-1,no
43,1,2,cellular,76,1,-1,no
47,2,1,cellular,166,2,-1,no
27,1,3,cellular,138,2,178,yes
52,5,3,cellular,86,1,-1,no
31,1,2,cellular,1287,5,-1,no
26,2,1,cellular,246,3,-1,no
43,10,1,cellular,578,1,-1,no
32,10,3,cellular,407,4,-1,no
44,2,1,cellular,156,20,-1,no
26,8,2,cellular,161,1,-1,no
43,2,1,cellular,431,8,-1,no
26,10,2,cellular,611,1,-1,no
27,10,2,cellular,139,1,-1,no
34,2,2,telephone,351,11,-1,no
31,5,3,cellular,249,3,-1,no
60,4,2,cellular,261,3,-1,no
33,5,3,cellular,1077,1,-1,yes
46,2,2,telephone,425,2,-1,no
47,10,2,cellular,108,1,-1,no
32,5,3,cellular,455,2,-1,no
41,1,2,cellular,24,12,-1,no
28,5,3,cellular,263,2,-1,no
26,10,2,cellular,417,1,-1,no
42,2,1,cellular,167,3,-1,no
54,5,3,cellular,321,4,-1,yes
51,8,2,telephone,68,4,-1,no
52,7,2,cellular,150,1,-1,no
34,10,2,cellular,174,2,160,yes
27,1,2,cellular,273,4,-1,no
34,5,3,cellular,681,1,-1,no
42,10,2,telephone,171,2,413,no
60,6,2,cellular,69,6,-1,no
43,8,2,cellular,145,4,-1,no
37,1,2,cellular,199,2,-1,no
25,1,4,cellular,1037,8,-1,yes
36,1,2,cellular,204,3,-1,no
51,7,1,telephone,215,1,-1,no
53,5,2,cellular,59,1,-1,no
26,8,2,cellular,240,10,-1,no
59,8,2,cellular,246,4,-1,no
31,2,2,cellular,437,2,-1,no
