age,job_id,edu_id,contact,duration,campaign,pdays,outcome
27,1,2,cellular,162,1,179,no
39,8,2,unknown,257,1,394,yes
35,7,3,cellular,106,1,-1,yes
48,11,1,cellular,119,1,-1,no
26,5,2,cellular,84,1,-1,no
33,5,3,cellular,77,1,179,no
64,6,2,cellular,84,1,88,no
37,5,3,cellular,319,1,-1,yes
53,5,2,cellular,90,1,104,yes
45,1,2,cellular,182,1,107,yes
68,6,3,cellular,158,1,92,no
26,9,2,cellular,229,1,205,yes
72,6,4,cellular,66,3,-1,no
32,5,3,cellular,63,2,-1,yes
60,1,2,cellular,115,1,-1,yes
26,9,3,cellular,87,1,91,yes
25,2,2,cellular,418,1,-1,yes
64,6,3,telephone,341,4,179,yes
36,8,2,cellular,498,2,179,yes
66,6,3,cellular,115,2,-1,no
30,9,3,telephone,199,5,-1,yes
41,5,3,cellular,90,2,-1,no
