age,job_id,edu_id,contact,duration,campaign,pdays,outcome
29,10,3,unknown,247,1,-1,no
32,2,2,unknown,144,2,-1,no
27,7,3,unknown,98,3,-1,no
38,2,2,unknown,21,1,-1,no
30,8,2,unknown,20,1,-1,no
34,2,1,unknown,106,1,-1,no
39,2,1,unknown,294,2,-1,no
30,1,2,unknown,257,1,-1,no
51,2,2,unknown,70,1,-1,no
48,11,1,unknown,164,8,-1,no
35,5,3,unknown,189,1,-1,no
27,5,3,unknown,132,3,-1,no
51,2,2,unknown,178,1,-1,no
23,8,2,unknown,305,2,-1,no
27,8,2,unknown,44,3,-1,no
26,2,2,unknown,24,1,-1,no
28,8,2,unknown,322,1,-1,no
42,2,1,unknown,391,2,-1,no
43,11,1,unknown,191,2,-1,no
33,2,2,unknown,143,1,-1,no
32,2,2,unknown,190,1,-1,no
32,2,2,unknown,116,3,-1,no
35,2,2,unknown,72,2,-1,no
54,6,2,unknown,86,2,-1,no
41,2,1,unknown,121,4,-1,no
37,2,2,unknown,182,1,-1,no
49,2,1,unknown,161,2,-1,no
41,2,1,unknown,47,5,-1,no
31,2,2,unknown,296,2,-1,no
29,2,2,unknown,185,2,-1,no
34,11,2,unknown,308,1,-1,no
35,10,3,unknown,106,1,-1,no
34,3,3,unknown,162,2,-1,no
43,2,1,unknown,256,5,-1,no
27,10,2,unknown,317,2,-1,no
30,5,3,unknown,164,1,-1,no
39,8,2,unknown,323,1,-1,no
28,10,2,unknown,179,2,-1,no
29,8,2,unknown,176,2,-1,no
40,2,1,unknown,97,1,-1,no
31,11,3,unknown,480,2,-1,no
33,2,1,unknown,665,2,-1,yes
29,1,2,unknown,121,1,-1,no
40,2,2,unknown,306,1,-1,no
55,2,1,unknown,1087,2,-1,no
25,1,2,unknown,393,2,-1,no
47,1,2,unknown,203,4,-1,no
35,10,2,unknown,130,2,-1,no
26,2,2,unknown,208,1,-1,no
27,2,3,unknown,24,1,-1,no
53,2,2,unknown,193,2,-1,no
30,2,2,unknown,395,1,-1,no
35,10,2,unknown,292,2,-1,no
51,2,1,unknown,205,1,-1,no
28,5,4,unknown,224,3,-1,no
29,10,3,unknown,338,3,-1,no
56,5,2,unknown,73,4,-1,no
35,2,2,unknown,134,3,-1,no
30,8,1,unknown,409,3,-1,no
29,1,2,unknown,179,2,-1,no
37,2,2,unknown,217,2,-1,no
29,5,3,unknown,45,1,-1,no
45,5,3,unknown,214,2,-1,no
54,5,3,unknown,155,3,-1,no
42,2,2,unknown,147,1,-1,no
49,7,3,unknown,124,2,-1,no
37,2,2,unknown,137,2,-1,no
41,8,2,unknown,231,2,-1,no
51,5,3,unknown,178,2,-1,no
31,5,3,unknown,154,2,-1,no
28,2,2,unknown,254,1,-1,no
28,1,2,unknown,211,3,-1,no
42,2,1,unknown,128,1,-1,no
33,2,1,unknown,180,2,-1,no
59,5,2,unknown,485,1,-1,no
31,2,1,unknown,399,3,-1,no
23,9,2,unknown,97,1,-1,no
26,3,3,unknown,346,3,-1,no
50,2,1,unknown,257,6,-1,no
33,8,3,unknown,253,1,-1,no
57,2,2,unknown,122,2,-1,no
28,5,3,unknown,98,1,-1,no
