age,job_id,edu_id,contact,duration,campaign,pdays,outcome
53,1,2,cellular,178,1,-1,yes
41,11,3,telephone,394,1,390,yes
31,5,3,cellular,94,3,-1,no
34,9,4,cellular,600,2,99,no
33,10,2,telephone,61,1,-1,no
64,6,3,cellular,326,1,95,no
71,6,2,cellular,379,2,92,no
38,5,3,telephone,43,1,-1,no
33,9,2,cellular,262,1,94,yes
37,5,3,cellular,268,1,-1,yes
34,1,2,cellular,161,1,209,yes
29,1,2,cellular,208,2,91,yes
43,1,2,telephone,208,1,-1,no
24,9,2,cellular,263,1,90,yes
33,10,3,cellular,465,2,95,no
24,9,3,cellular,118,1,-1,yes
38,5,3,cellular,347,4,189,yes
