age,job_id,edu_id,contact,duration,campaign,pdays,outcome
84,6,1,telephone,62,3,-1,no
46,4,1,cellular,175,1,197,yes
42,10,2,unknown,234,1,-1,yes
70,6,2,cellular,196,2,-1,yes
28,9,3,telephone,177,2,-1,no
67,12,3,telephone,70,3,-1,no
61,6,1,cellular,480,1,-1,yes
51,12,4,telephone,152,4,-1,no
22,9,2,cellular,368,2,-1,yes
60,6,2,cellular,416,2,-1,yes
47,11,3,cellular,183,2,-1,no
62,5,3,cellular,212,2,-1,yes
36,2,2,cellular,640,1,-1,yes
37,5,3,cellular,176,5,158,no
43,6,2,telephone,132,1,-1,yes
43,7,1,telephone,81,1,-1,no
60,5,3,cellular,294,1,270,yes
34,4,2,unknown,154,1,-1,yes
