age,job_id,edu_id,contact,duration,campaign,pdays,outcome
38,5,3,cellular,222,1,-1,no
33,1,3,cellular,293,2,92,yes
29,2,2,cellular,367,1,91,no
74,6,1,telephone,97,5,204,no
60,5,3,cellular,840,1,183,yes
55,1,2,cellular,193,1,92,yes
65,6,1,cellular,191,2,92,no
41,10,2,telephone,150,1,-1,no
65,6,1,cellular,400,1,-1,yes
33,1,2,telephone,104,3,-1,no
65,10,2,cellular,95,2,-1,no
45,10,4,cellular,115,1,-1,no
43,5,4,cellular,108,7,102,no
82,6,1,cellular,368,1,-1,no
48,5,3,cellular,120,1,98,yes
51,5,3,cellular,181,1,98,yes
36,5,3,cellular,212,1,-1,yes
28,5,3,cellular,222,2,-1,yes
39,5,3,cellular,265,2,476,yes
30,1,3,cellular,77,1,-1,no
62,6,2,cellular,28,2,-1,no
35,5,3,cellular,238,1,-1,yes
35,10,2,cellular,516,2,130,no
25,8,2,cellular,531,2,-1,yes
75,6,1,cellular,532,2,188,yes
30,7,3,unknown,20,1,478,no
23,9,2,cellular,81,5,99,no
28,2,2,cellular,199,1,92,yes
18,9,4,cellular,425,1,-1,no
32,1,2,cellular,729,1,29,yes
37,3,3,cellular,76,1,-1,no
